entry_time;exit_time;setup;side;grade;score;outcome;r_multiple
2026-03-05 04:10:00;2026-03-05 04:12:00;FINISHED_AUCTION;LONG;FORT;52.4;TARGET1;1.893
2026-03-06 10:44:00;2026-03-06 10:50:00;FINISHED_AUCTION;SHORT;FORT;53.1;STOP;-1.000
2026-03-09 05:20:00;2026-03-09 05:32:00;FINISHED_AUCTION;SHORT;FORT;58.0;STOP;-1.000
2026-03-09 08:18:00;2026-03-09 08:20:00;FINISHED_AUCTION;SHORT;FORT;59.0;TARGET1;1.848
2026-03-09 08:24:00;2026-03-09 08:30:00;CUM_DELTA_DIV;SHORT;TRESFORT;87.5;STOP;-1.000
2026-03-11 08:32:00;2026-03-11 08:34:00;FINISHED_AUCTION;SHORT;FORT;54.7;STOP;-1.000
2026-03-11 17:44:00;2026-03-11 17:50:00;FINISHED_AUCTION;LONG;FORT;62.6;TARGET1;2.524
2026-03-12 05:36:00;2026-03-12 05:40:00;CUM_DELTA_DIV;SHORT;TRESFORT;75.3;TARGET1;1.437
2026-03-12 08:46:00;2026-03-12 08:54:00;CUM_DELTA_DIV;LONG;FORT;51.3;STOP;-1.000
2026-03-12 22:26:00;2026-03-12 22:30:00;FINISHED_AUCTION;SHORT;FORT;58.8;STOP;-1.000
2026-03-13 09:22:00;2026-03-13 09:26:00;FINISHED_AUCTION;SHORT;FORT;59.4;TARGET1;1.392
2026-03-16 06:06:00;2026-03-16 06:12:00;FINISHED_AUCTION;SHORT;FORT;64.0;STOP;-1.000
2026-03-16 06:12:00;2026-03-16 06:16:00;FINISHED_AUCTION;SHORT;FORT;60.8;TARGET1;1.801
2026-03-16 10:38:00;2026-03-16 10:40:00;FINISHED_AUCTION;SHORT;FORT;55.1;STOP;-1.000
2026-03-16 12:16:00;2026-03-16 12:34:00;FINISHED_AUCTION;LONG;FORT;55.5;TARGET1;1.826
2026-03-16 12:14:00;2026-03-16 12:34:00;FINISHED_AUCTION;LONG;FORT;54.4;TARGET1;1.867
2026-03-16 13:54:00;2026-03-16 14:00:00;FINISHED_AUCTION;SHORT;TRESFORT;74.9;STOP;-1.000
2026-03-16 15:26:00;2026-03-16 15:30:00;FINISHED_AUCTION;LONG;TRESFORT;68.8;TARGET1;1.907
2026-03-16 15:38:00;2026-03-16 15:40:00;CUM_DELTA_DIV;SHORT;FORT;60.3;STOP;-1.000
2026-03-16 18:02:00;2026-03-16 18:04:00;DELTA_FLIP;SHORT;TRESFORT;70.8;STOP;-1.000
2026-03-18 04:12:00;2026-03-18 04:18:00;FINISHED_AUCTION;SHORT;FORT;62.7;STOP;-1.000
2026-03-18 04:10:00;2026-03-18 04:22:00;CUM_DELTA_DIV;LONG;TRESFORT;73.7;TARGET1;1.440
2026-03-18 06:16:00;2026-03-18 06:58:00;FINISHED_AUCTION;SHORT;FORT;54.1;TARGET1;1.323
2026-03-18 08:40:00;2026-03-18 08:44:00;CUM_DELTA_DIV;SHORT;FORT;62.9;STOP;-1.000
2026-03-19 11:00:00;2026-03-19 11:02:00;FINISHED_AUCTION;SHORT;FORT;65.6;STOP;-1.000
2026-03-19 20:32:00;2026-03-19 20:34:00;CUM_DELTA_DIV;LONG;FORT;60.1;STOP;-1.000
2026-03-20 05:50:00;2026-03-20 05:54:00;CUM_DELTA_DIV;LONG;TRESFORT;70.7;STOP;-1.000
2026-03-20 21:52:00;2026-03-20 21:56:00;DELTA_FLIP;SHORT;FORT;63.5;TARGET2;8.992
2026-03-24 15:36:00;2026-03-24 15:38:00;CUM_DELTA_DIV;SHORT;FORT;50.4;TARGET1;4.456
2026-03-24 15:38:00;2026-03-24 15:40:00;CUM_DELTA_DIV;SHORT;FORT;51.0;TARGET1;4.685
2026-03-24 15:40:00;2026-03-24 15:42:00;CUM_DELTA_DIV;SHORT;FORT;51.0;STOP;-1.000
2026-03-24 15:42:00;2026-03-24 15:44:00;CUM_DELTA_DIV;SHORT;FORT;55.6;STOP;-1.000
2026-03-24 23:00:00;2026-03-24 23:04:00;CUM_DELTA_DIV;SHORT;FORT;50.3;STOP;-1.000
2026-03-25 10:42:00;2026-03-25 10:44:00;STACKED_IMB_RETEST;LONG;FORT;53.9;STOP;-1.000
2026-03-27 18:10:00;2026-03-27 18:12:00;DELTA_FLIP;LONG;FORT;65.9;STOP;-1.000
2026-03-30 01:08:00;2026-03-30 01:10:00;OPEN_DRIVE_FAILURE;SHORT;FORT;55.7;STOP;-1.000
2026-03-30 01:10:00;2026-03-30 01:12:00;OPEN_DRIVE_FAILURE;SHORT;TRESFORT;67.3;STOP;-1.000
2026-03-30 03:30:00;2026-03-30 03:34:00;FINISHED_AUCTION;SHORT;FORT;61.7;STOP;-1.000
2026-03-30 03:52:00;2026-03-30 03:54:00;FINISHED_AUCTION;SHORT;FORT;60.5;STOP;-1.000
2026-03-30 06:22:00;2026-03-30 06:28:00;FINISHED_AUCTION;LONG;FORT;58.2;STOP;-1.000
2026-03-30 18:40:00;2026-03-30 18:52:00;FINISHED_AUCTION;LONG;FORT;52.3;STOP;-1.000
2026-03-31 14:34:00;2026-03-31 14:40:00;DELTA_FLIP;LONG;FORT;51.1;TARGET1;2.796
2026-04-01 01:50:00;2026-04-01 01:52:00;DELTA_FLIP;LONG;TRESFORT;68.9;STOP;-1.000
2026-04-01 04:42:00;2026-04-01 04:52:00;FINISHED_AUCTION;LONG;FORT;60.0;TARGET1;3.047
2026-04-01 07:52:00;2026-04-01 07:56:00;FINISHED_AUCTION;LONG;FORT;55.6;STOP;-1.000
2026-04-06 01:12:00;2026-04-06 01:14:00;DELTA_FLIP;SHORT;FORT;60.2;STOP;-1.000
2026-04-06 01:56:00;2026-04-06 01:58:00;CUM_DELTA_DIV;SHORT;FORT;61.9;STOP;-1.000
2026-04-07 04:10:00;2026-04-07 04:12:00;DELTA_FLIP;SHORT;TRESFORT;74.2;TARGET1;2.886
2026-04-07 11:22:00;2026-04-07 11:24:00;CUM_DELTA_DIV;LONG;FORT;63.2;TARGET1;2.554
2026-04-07 13:10:00;2026-04-07 13:24:00;FINISHED_AUCTION;LONG;FORT;64.3;STOP;-1.000
2026-04-07 21:52:00;2026-04-07 21:56:00;CUM_DELTA_DIV;SHORT;FORT;59.4;TARGET2;3.196
2026-04-08 03:02:00;2026-04-08 03:08:00;FINISHED_AUCTION;LONG;FORT;52.4;TARGET1;3.940
2026-04-08 04:14:00;2026-04-08 04:20:00;CUM_DELTA_DIV;LONG;FORT;57.7;STOP;-1.000
2026-04-08 04:24:00;2026-04-08 04:26:00;CUM_DELTA_DIV;LONG;FORT;62.7;STOP;-1.000
2026-04-08 21:24:00;2026-04-08 21:26:00;FINISHED_AUCTION;LONG;FORT;53.5;STOP;-1.000
2026-04-09 04:18:00;2026-04-09 04:20:00;FINISHED_AUCTION;SHORT;FORT;53.2;STOP;-1.000
2026-04-09 21:12:00;2026-04-09 21:16:00;FINISHED_AUCTION;SHORT;FORT;51.8;TARGET1;1.747
2026-04-10 03:02:00;2026-04-10 03:08:00;FINISHED_AUCTION;SHORT;FORT;55.4;TARGET1;1.177
2026-04-10 20:22:00;2026-04-10 20:26:00;CUM_DELTA_DIV;SHORT;FORT;51.0;STOP;-1.000
2026-04-13 19:32:00;2026-04-13 19:34:00;FINISHED_AUCTION;LONG;FORT;60.5;STOP;-1.000
2026-04-13 19:44:00;2026-04-13 19:48:00;FINISHED_AUCTION;LONG;FORT;60.8;TARGET1;2.104
2026-04-13 20:10:00;2026-04-13 20:18:00;FINISHED_AUCTION;LONG;TRESFORT;71.9;TARGET1;2.118
2026-04-14 10:28:00;2026-04-14 10:30:00;STACKED_IMB_RETEST;LONG;FORT;57.6;STOP;-1.000
2026-04-15 12:18:00;2026-04-15 12:20:00;FINISHED_AUCTION;SHORT;FORT;64.4;STOP;-1.000
2026-04-16 09:44:00;2026-04-16 09:48:00;FINISHED_AUCTION;SHORT;FORT;50.4;STOP;-1.000
2026-04-16 09:48:00;2026-04-16 09:50:00;FINISHED_AUCTION;LONG;FORT;56.5;TARGET1;1.438
2026-04-16 09:50:00;2026-04-16 09:52:00;DELTA_FLIP;LONG;TRESFORT;67.4;STOP;-1.000
2026-04-17 08:50:00;2026-04-17 08:52:00;DELTA_FLIP;LONG;FORT;55.2;TARGET1;1.074
2026-04-17 16:24:00;2026-04-17 16:28:00;FINISHED_AUCTION;LONG;FORT;50.4;STOP;-1.000
2026-04-18 00:00:00;2026-04-18 00:00:00;FINISHED_AUCTION;SHORT;FORT;54.3;SESSION_END;0.000
2026-04-20 02:50:00;2026-04-20 02:52:00;FINISHED_AUCTION;SHORT;FORT;58.1;STOP;-1.000
2026-04-21 06:24:00;2026-04-21 06:30:00;FINISHED_AUCTION;SHORT;FORT;65.4;STOP;-1.000
2026-04-21 07:14:00;2026-04-21 07:16:00;FINISHED_AUCTION;SHORT;FORT;58.2;TARGET1;1.000
2026-04-21 07:12:00;2026-04-21 07:16:00;FINISHED_AUCTION;SHORT;FORT;61.5;TARGET1;1.000
2026-04-21 07:28:00;2026-04-21 07:30:00;CUM_DELTA_DIV;LONG;FORT;58.7;STOP;-1.000
2026-04-21 07:48:00;2026-04-21 07:50:00;FINISHED_AUCTION;SHORT;FORT;52.9;TARGET1;1.000
2026-04-21 07:44:00;2026-04-21 07:50:00;FINISHED_AUCTION;SHORT;FORT;60.8;TARGET1;1.000
2026-04-21 07:56:00;2026-04-21 07:58:00;FINISHED_AUCTION;SHORT;FORT;53.7;STOP;-1.000
2026-04-21 08:04:00;2026-04-21 08:06:00;FINISHED_AUCTION;SHORT;FORT;62.4;STOP;-1.000
2026-04-21 08:38:00;2026-04-21 08:48:00;CUM_DELTA_DIV;LONG;FORT;55.9;STOP;-1.000
2026-04-21 20:34:00;2026-04-21 20:40:00;DELTA_FLIP;LONG;FORT;53.5;TARGET1;2.011
2026-04-21 22:54:00;2026-04-21 22:56:00;DELTA_FLIP;SHORT;TRESFORT;68.5;STOP;-1.000
2026-04-22 04:52:00;2026-04-22 05:04:00;FINISHED_AUCTION;LONG;FORT;60.6;STOP;-1.000
2026-04-22 05:12:00;2026-04-22 05:42:00;FINISHED_AUCTION;LONG;FORT;53.2;STOP;-1.000
2026-04-23 05:14:00;2026-04-23 05:22:00;FINISHED_AUCTION;SHORT;FORT;62.1;STOP;-1.000
2026-04-23 16:08:00;2026-04-23 16:18:00;CUM_DELTA_DIV;SHORT;FORT;58.7;STOP;-1.000
2026-04-27 06:02:00;2026-04-27 06:12:00;FINISHED_AUCTION;LONG;TRESFORT;68.4;STOP;-1.000
