entry_time;exit_time;setup;side;grade;score;outcome;r_multiple
2026-08-18 06:14:00;2026-08-18 06:22:00;FINISHED_AUCTION;LONG;FORT;51.8;STOP;-1.000
2026-08-19 02:34:00;2026-08-19 03:06:00;FINISHED_AUCTION;LONG;FORT;53.9;STOP;-1.000
2026-07-02 03:08:00;2026-07-02 03:14:00;FINISHED_AUCTION;SHORT;FORT;54.0;STOP;-1.000
2026-07-02 07:10:00;2026-07-02 07:34:00;CUM_DELTA_DIV;SHORT;FORT;57.4;STOP;-1.000
2026-07-02 08:40:00;2026-07-02 08:50:00;CUM_DELTA_DIV;SHORT;FORT;51.5;STOP;-1.000
2026-07-02 08:48:00;2026-07-02 09:02:00;CUM_DELTA_DIV;SHORT;FORT;50.1;STOP;-1.000
2026-07-03 06:14:00;2026-07-03 06:32:00;CUM_DELTA_DIV;LONG;FORT;58.5;STOP;-1.000
2026-07-06 05:06:00;2026-07-06 05:46:00;FINISHED_AUCTION;LONG;TRESFORT;67.7;STOP;-1.000
2026-07-06 06:04:00;2026-07-06 06:14:00;FINISHED_AUCTION;SHORT;FORT;52.4;TARGET1;1.000
2026-07-06 05:58:00;2026-07-06 08:10:00;FINISHED_AUCTION;SHORT;FORT;55.7;STOP;-1.000
2026-07-06 10:52:00;2026-07-06 11:10:00;FINISHED_AUCTION;SHORT;FORT;62.1;STOP;-1.000
2026-07-06 14:50:00;2026-07-06 14:54:00;DELTA_FLIP;SHORT;FORT;53.6;STOP;-1.000
2026-07-06 15:32:00;2026-07-06 16:04:00;FINISHED_AUCTION;LONG;FORT;51.4;STOP;-1.000
2026-07-06 17:16:00;2026-07-06 17:20:00;FINISHED_AUCTION;LONG;FORT;50.1;STOP;-1.000
2026-07-06 17:22:00;2026-07-06 17:28:00;CUM_DELTA_DIV;LONG;FORT;59.9;TARGET1;1.526
2026-07-06 17:24:00;2026-07-06 17:40:00;FINISHED_AUCTION;LONG;FORT;60.0;TARGET1;1.364
2026-07-06 21:32:00;2026-07-06 22:08:00;DELTA_FLIP;SHORT;FORT;57.4;STOP;-1.071
2026-07-08 02:40:00;2026-07-08 02:44:00;FINISHED_AUCTION;LONG;FORT;56.2;STOP;-1.000
2026-07-08 02:38:00;2026-07-08 02:44:00;FINISHED_AUCTION;LONG;FORT;60.3;STOP;-1.000
2026-07-08 02:44:00;2026-07-08 02:50:00;DELTA_FLIP;SHORT;FORT;57.6;TARGET1;1.000
2026-07-08 02:30:00;2026-07-08 02:50:00;FINISHED_AUCTION;SHORT;FORT;51.1;TARGET1;1.875
2026-07-08 02:52:00;2026-07-08 03:02:00;FINISHED_AUCTION;LONG;FORT;62.0;TARGET1;1.000
2026-07-08 02:32:00;2026-07-08 03:02:00;FINISHED_AUCTION;SHORT;FORT;53.5;STOP;-1.000
2026-07-08 07:16:00;2026-07-08 07:28:00;CUM_DELTA_DIV;LONG;FORT;63.3;STOP;-1.000
2026-07-08 07:14:00;2026-07-08 07:32:00;FINISHED_AUCTION;LONG;TRESFORT;66.9;STOP;-1.000
2026-07-08 07:08:00;2026-07-08 07:32:00;CUM_DELTA_DIV;LONG;FORT;60.1;STOP;-1.000
2026-07-08 07:44:00;2026-07-08 08:10:00;FINISHED_AUCTION;LONG;FORT;65.2;TARGET1;3.125
2026-07-08 07:42:00;2026-07-08 08:10:00;FINISHED_AUCTION;LONG;FORT;57.7;TARGET1;3.125
2026-07-08 07:32:00;2026-07-08 08:10:00;CUM_DELTA_DIV;LONG;FORT;57.8;TARGET1;3.250
2026-07-08 08:42:00;2026-07-08 08:48:00;FINISHED_AUCTION;SHORT;FORT;51.9;STOP;-1.000
2026-07-08 09:50:00;2026-07-08 10:06:00;FINISHED_AUCTION;SHORT;FORT;58.7;STOP;-1.000
2026-07-08 09:48:00;2026-07-08 10:06:00;FINISHED_AUCTION;SHORT;FORT;60.0;STOP;-1.000
2026-07-08 15:26:00;2026-07-08 15:32:00;CUM_DELTA_DIV;LONG;FORT;55.3;STOP;-1.000
