entry_time;exit_time;setup;side;grade;score;outcome;r_multiple
2026-08-14 01:50:00;2026-08-14 02:04:00;FAILED_AUCTION_VA;SHORT;FORT;60.2;TARGET1;1.167
2026-08-18 05:36:00;2026-08-18 05:50:00;NPOC_ABSORPTION_REVERSAL;LONG;FORT;56.1;STOP;-1.000
2026-08-18 07:32:00;2026-08-18 07:38:00;FINISHED_AUCTION;SHORT;TRESFORT;67.1;TARGET1;1.000
2026-08-18 13:42:00;2026-08-18 14:06:00;CUM_DELTA_DIV;SHORT;TRESFORT;70.0;TARGET1;1.000
2026-08-19 02:34:00;2026-08-19 02:36:00;FINISHED_AUCTION;SHORT;TRESFORT;67.5;STOP;-1.000
2026-08-19 04:04:00;2026-08-19 04:06:00;FINISHED_AUCTION;SHORT;FORT;51.3;STOP;-1.000
2026-07-09 02:02:00;2026-07-09 02:30:00;CUM_DELTA_DIV;SHORT;FORT;64.4;STOP;-1.000
2026-07-09 05:32:00;2026-07-09 05:34:00;DELTA_FLIP;SHORT;TRESFORT;72.9;TARGET1;1.163
2026-07-10 06:10:00;2026-07-10 06:14:00;CUM_DELTA_DIV;SHORT;FORT;52.4;TARGET1;1.121
2026-07-13 05:48:00;2026-07-13 06:06:00;FINISHED_AUCTION;SHORT;FORT;55.1;TARGET1;1.527
2026-07-14 03:06:00;2026-07-14 03:08:00;FINISHED_AUCTION;SHORT;FORT;59.8;TARGET2;2.258
2026-07-16 02:20:00;2026-07-16 02:26:00;FINISHED_AUCTION;LONG;FORT;51.0;STOP;-1.000
2026-07-16 03:24:00;2026-07-16 03:44:00;FINISHED_AUCTION;LONG;FORT;57.8;STOP;-1.000
2026-07-16 03:52:00;2026-07-16 03:54:00;FINISHED_AUCTION;LONG;FORT;52.9;STOP;-1.000
2026-07-16 11:08:00;2026-07-16 11:12:00;FINISHED_AUCTION;SHORT;FORT;52.4;TARGET1;1.000
2026-07-16 14:48:00;2026-07-16 14:50:00;FINISHED_AUCTION;LONG;FORT;50.4;STOP;-1.000
2026-07-17 18:04:00;2026-07-17 18:06:00;FINISHED_AUCTION;LONG;FORT;65.0;TARGET1;1.942
2026-07-21 01:42:00;2026-07-21 01:46:00;FINISHED_AUCTION;SHORT;FORT;59.1;STOP;-1.000
2026-07-21 04:24:00;2026-07-21 04:26:00;DELTA_FLIP;SHORT;FORT;53.5;STOP;-1.000
2026-07-21 05:40:00;2026-07-21 05:50:00;FINISHED_AUCTION;LONG;FORT;58.4;STOP;-1.000
2026-07-21 09:50:00;2026-07-21 09:52:00;DELTA_FLIP;LONG;TRESFORT;67.7;STOP;-1.000
2026-07-22 03:12:00;2026-07-22 03:18:00;FINISHED_AUCTION;LONG;TRESFORT;67.5;TARGET2;2.002
2026-07-22 04:06:00;2026-07-22 04:14:00;STACKED_IMB_RETEST;LONG;TRESFORT;76.9;TARGET1;1.692
2026-07-22 08:40:00;2026-07-22 08:56:00;CUM_DELTA_DIV;SHORT;FORT;58.7;TARGET1;1.000
2026-07-22 10:20:00;2026-07-22 10:22:00;CUM_DELTA_DIV;LONG;FORT;53.9;TARGET1;1.074
2026-07-22 10:26:00;2026-07-22 10:32:00;CUM_DELTA_DIV;LONG;TRESFORT;75.7;TARGET1;1.064
2026-07-22 10:32:00;2026-07-22 10:38:00;STACKED_IMB_RETEST;LONG;FORT;58.2;STOP;-1.000
2026-07-23 14:34:00;2026-07-23 14:42:00;DELTA_FLIP;SHORT;TRESFORT;76.3;TARGET2;2.370
2026-07-23 14:54:00;2026-07-23 15:16:00;FINISHED_AUCTION;SHORT;TRESFORT;68.7;TARGET1;1.403
2026-07-23 16:08:00;2026-07-23 16:12:00;FINISHED_AUCTION;SHORT;FORT;59.8;TARGET1;2.173
2026-07-23 20:30:00;2026-07-23 20:40:00;FINISHED_AUCTION;SHORT;TRESFORT;67.7;TARGET1;1.000
