time;instrument;setup;side;score;score_raw;gated;grade;gate_failed;N1;N2;N3;N4;penalty;entry;stop;t1;t2;rr;daytype;ib_ext;va_overlap;atr_pct;z_delta;htf;htf_aligned;family;setup_type;htf_mod;m5_mod;evidence;v3_class;v3_thr;v3_zmad;v3_dpct;detail
2026-08-14 01:06:00;NQ;FINISHED_AUCTION;LONG;0.0;26.9;1;C;N1_CONTEXTE;4.0;20.8;4.4;0.0;0.0;30210.5;30207.5;30233.4166666667;30256.3333333333;7.64;Undetermined;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;50.0;DayType=Undetermined INCOMPATIBLE (+0) | IBext=0.00 hors plage (+0) | VAoverlap=0.00 (+0) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x4 (+6) | FinishedAuction (+3) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | Sync AMC Core: N2 gate bypassé | SMC aucun element SMC (0.0/41 => 0.00) | FOOTPRINT EVIDENCE=0.20 aucune preuve footprint suffisante (force 0.20) | PRO struct=8.3/30 foot=5.8/30 vol=7.5/15 mom=0.0/15 ctx=1.3/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=0 pen=0.0 => 26.9/100 | N1=4.0/30 N2=20.8/30 N3=4.4/25 N4=0.0/15 pen=0.0 RR=7.64 score pondere=26.9/100 htf=ok
2026-08-14 01:16:00;NQ;FINISHED_AUCTION;SHORT;0.0;17.4;1;C;N1_CONTEXTE;4.0;20.8;4.4;0.0;-5.0;30191.5;30194.5;30174.78125;30158.0625;5.57;Undetermined;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;0.0;DayType=Undetermined INCOMPATIBLE (+0) | IBext=0.00 hors plage (+0) | VAoverlap=0.00 (+0) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x3 (+6) | FinishedAuction (+3) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | Liquidite faible (-5) | Sync AMC Core: N2 gate bypassé | SMC aucun element SMC (0.0/41 => 0.00) | FOOTPRINT EVIDENCE=0.20 aucune preuve footprint suffisante (force 0.20) | PRO struct=8.3/30 foot=5.8/30 vol=3.0/15 mom=0.0/15 ctx=1.3/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=0 pen=-5.0 => 17.4/100 | N1=4.0/30 N2=20.8/30 N3=4.4/25 N4=0.0/15 pen=-5.0 RR=5.57 score pondere=17.4/100 htf=ok
2026-08-14 01:18:00;NQ;DELTA_FLIP;LONG;0.0;19.5;1;C;N3_MICROSTRUCTURE;20.0;20.8;0.0;0.0;-5.0;30199.25;30196.25;30215.5;30231.75;5.42;Undetermined;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;66.7;DayType=Undetermined (Setup Hybride valide) (+10) | IBext=0.00 contre-sens (+0) | VAoverlap=0.00 (+6) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x2 (+6) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | Liquidite faible (-5) | Sync AMC Core: N2 gate bypassé | ScalpingPro Orderflow: N2 gate assoupli (>=1) | SMC aucun element SMC (0.0/41 => 0.00) | FOOTPRINT EVIDENCE=0.00 aucune preuve footprint suffisante (force 0.00) | PRO struct=8.3/30 foot=0.0/30 vol=2.5/15 mom=0.0/15 ctx=6.7/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=+3.0 pen=-5.0 => 19.5/100 | N1=20.0/30 N2=20.8/30 N3=0.0/25 N4=0.0/15 pen=-5.0 RR=5.42 score pondere=19.5/100 htf=ok
2026-08-14 01:22:00;NQ;FINISHED_AUCTION;SHORT;0.0;32.6;1;C;N1_CONTEXTE;4.0;20.8;4.4;0.0;0.0;30195.25;30198.25;30179.5965909091;30163.9431818182;5.22;Undetermined;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;0.0;DayType=Undetermined INCOMPATIBLE (+0) | IBext=0.00 hors plage (+0) | VAoverlap=0.00 (+0) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x4 (+6) | FinishedAuction (+3) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | Sync AMC Core: N2 gate bypassé | SMC aucun element SMC (0.0/41 => 0.00) | FOOTPRINT EVIDENCE=0.20 aucune preuve footprint suffisante (force 0.20) | PRO struct=8.3/30 foot=5.8/30 vol=13.1/15 mom=0.0/15 ctx=1.3/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=0 pen=0.0 => 32.6/100 | N1=4.0/30 N2=20.8/30 N3=4.4/25 N4=0.0/15 pen=0.0 RR=5.22 score pondere=32.6/100 htf=ok
2026-08-14 01:24:00;NQ;DELTA_FLIP;SHORT;0.0;22.4;1;C;N3_MICROSTRUCTURE;20.0;20.8;0.0;9.0;-5.0;30195.75;30198.75;30180.984375;30166.21875;4.92;Undetermined;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;22.2;DayType=Undetermined (Setup Hybride valide) (+10) | IBext=0.00 contre-sens (+0) | VAoverlap=0.00 (+6) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x3 (+6) | Rejet meche 44% (+6) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | Liquidite faible (-5) | Sync AMC Core: N2 gate bypassé | ScalpingPro Orderflow: N2 gate assoupli (>=1) | SMC aucun element SMC (0.0/41 => 0.00) | FOOTPRINT EVIDENCE=0.00 aucune preuve footprint suffisante (force 0.00) | PRO struct=8.3/30 foot=0.0/30 vol=0.0/15 mom=5.4/15 ctx=6.7/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=+3.0 pen=-5.0 => 22.4/100 | N1=20.0/30 N2=20.8/30 N3=0.0/25 N4=9.0/15 pen=-5.0 RR=4.92 score pondere=22.4/100 htf=ok
2026-08-14 01:28:00;NQ;DELTA_FLIP;LONG;0.0;26.1;1;C;FOOTPRINT_ABSENT;20.0;20.8;10.3;9.0;-5.0;30197.5;30194.5;30210.6473214286;30223.7946428571;4.38;Undetermined;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;18.2;DayType=Undetermined (Setup Hybride valide) (+10) | IBext=0.00 contre-sens (+0) | VAoverlap=0.00 (+6) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x2 (+6) | CVDslopeDiv Z=25.22 (+7.0) | Rejet meche 40% (+6) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | Liquidite faible (-5) | Sync AMC Core: N2 gate bypassé | ScalpingPro Orderflow: N2 gate assoupli (>=1) | SMC aucun element SMC (0.0/41 => 0.00) | FOOTPRINT EVIDENCE=0.00 aucune preuve footprint suffisante (force 0.00) | PRO struct=8.3/30 foot=3.7/30 vol=0.0/15 mom=5.4/15 ctx=6.7/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=+3.0 pen=-5.0 => 26.1/100 | N1=20.0/30 N2=20.8/30 N3=10.3/25 N4=9.0/15 pen=-5.0 RR=4.38 score pondere=26.1/100 htf=ok
2026-08-14 01:40:00;NQ;DELTA_FLIP;SHORT;0.0;17.0;1;C;N3_MICROSTRUCTURE;20.0;20.8;0.0;0.0;-5.0;30202;30205;30191.4697286928;30180.9394573856;3.51;Neutral;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;58.8;DayType=Neutral (Setup Hybride valide) (+10) | IBext=0.00 contre-sens (+0) | VAoverlap=0.00 (+6) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x2 (+6) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | Liquidite faible (-5) | Sync AMC Core: N2 gate bypassé | ScalpingPro Orderflow: N2 gate assoupli (>=1) | SMC aucun element SMC (0.0/41 => 0.00) | FOOTPRINT EVIDENCE=0.00 aucune preuve footprint suffisante (force 0.00) | PRO struct=8.3/30 foot=0.0/30 vol=0.0/15 mom=0.0/15 ctx=6.7/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=+3.0 pen=-5.0 => 17.0/100 | N1=20.0/30 N2=20.8/30 N3=0.0/25 N4=0.0/15 pen=-5.0 RR=3.51 score pondere=17.0/100 htf=ok
2026-08-14 01:48:00;NQ;FINISHED_AUCTION;SHORT;0.0;34.0;1;C;N3_MICROSTRUCTURE;14.0;20.8;4.4;0.0;0.0;30202.5;30205.5;30193.047637604;30183.595275208;3.15;Neutral;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;85.7;DayType=Neutral (+10) | IBext=0.00 hors plage (+0) | VAoverlap=0.00 (+0) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x4 (+6) | FinishedAuction (+3) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | Sync AMC Core: N2 gate bypassé | SMC SWEEP+6 FVG+5 (11.0/41 => 0.27) | FOOTPRINT EVIDENCE=0.20 aucune preuve footprint suffisante (force 0.20) | PRO struct=13.1/30 foot=5.8/30 vol=6.4/15 mom=0.0/15 ctx=4.7/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=0 pen=0.0 => 34.0/100 | N1=14.0/30 N2=20.8/30 N3=4.4/25 N4=0.0/15 pen=0.0 RR=3.15 score pondere=34.0/100 htf=ok
2026-08-14 01:52:00;NQ;DELTA_FLIP;LONG;0.0;44.3;1;C;N3_MICROSTRUCTURE;20.0;20.8;0.0;0.0;0.0;30201.75;30198.75;30210.6001874741;30219.4503749482;2.95;Neutral;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;8.7;DayType=Neutral (Setup Hybride valide) (+10) | IBext=0.00 contre-sens (+0) | VAoverlap=0.00 (+6) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x2 (+6) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | ScalpingPro Orderflow: N2 gate assoupli (>=1) | SMC BOS+8 OB+6 SWEEP+6 FVG+5 INV_FVG+5 (30.0/41 => 0.73) | FOOTPRINT EVIDENCE=0.00 aucune preuve footprint suffisante (force 0.00) | PRO struct=21.5/30 foot=0.0/30 vol=9.1/15 mom=0.0/15 ctx=6.7/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=+3.0 pen=0.0 => 44.3/100 | N1=20.0/30 N2=20.8/30 N3=0.0/25 N4=0.0/15 pen=0.0 RR=2.95 score pondere=44.3/100 htf=ok
2026-08-14 01:52:00;NQ;CUM_DELTA_DIV;SHORT;0.0;55.5;1;C;FOOTPRINT_ABSENT;20.0;20.8;8.8;9.0;0.0;30201.75;30204.75;30192.8998125259;30184.0496250518;2.95;Neutral;0.000;0.000;50.0;0.00;0;1;Reversal;Reversal;4.0;0.0;;Unknown;0;0.00;8.7;DayType=Neutral (Setup Hybride valide) (+10) | IBext=0.00 contre-sens (+0) | VAoverlap=0.00 (+6) | ATRpct=50 (+4) | Niveau classe A (+12) | Confluence x2 (+6) | CumDeltaDiv AMC (+3) | FinishedAuction (+3) | Rejet meche 65% (+6) | Normalisation mean-reversion (N2/26 N3/17 N4/10) | ScalpingPro Orderflow: N2 gate assoupli (>=1) | SMC CHOCH+7 OB+6 SWEEP+6 FVG+5 (24.0/41 => 0.59) | FOOTPRINT EVIDENCE=0.25 aucune preuve footprint suffisante (force 0.25) | PRO struct=18.8/30 foot=8.5/30 vol=9.1/15 mom=5.4/15 ctx=6.7/10 htfM15=+4.0 m5Mod=0 ibMod=0 setupBonus=+3.0 pen=0.0 => 55.5/100 | N1=20.0/30 N2=20.8/30 N3=8.8/25 N4=9.0/15 pen=0.0 RR=2.95 score pondere=55.5/100 htf=ok
