entry_time;exit_time;setup;side;grade;score;outcome;r_multiple
2026-08-19 01:40:00;2026-08-19 01:42:00;FINISHED_AUCTION;SHORT;TRESFORT;70.2;STOP;-1.000
2026-08-19 02:08:00;2026-08-19 02:18:00;FINISHED_AUCTION;SHORT;FORT;63.6;TARGET1;4.479
2026-08-19 02:42:00;2026-08-19 02:44:00;FINISHED_AUCTION;SHORT;FORT;60.7;STOP;-1.000
2026-07-06 01:06:00;2026-07-06 01:08:00;OPEN_DRIVE_FAILURE;SHORT;FORT;58.6;STOP;-1.000
2026-07-06 03:04:00;2026-07-06 03:06:00;FINISHED_AUCTION;LONG;FORT;61.0;STOP;-1.000
2026-07-07 06:18:00;2026-07-07 06:20:00;CUM_DELTA_DIV;LONG;TRESFORT;66.5;STOP;-1.000
2026-07-07 06:26:00;2026-07-07 06:28:00;CUM_DELTA_DIV;LONG;FORT;63.3;STOP;-1.000
2026-07-07 06:32:00;2026-07-07 06:34:00;CUM_DELTA_DIV;LONG;FORT;57.6;STOP;-1.000
2026-07-07 13:08:00;2026-07-07 13:10:00;DELTA_FLIP;SHORT;FORT;64.4;STOP;-1.000
2026-07-08 02:04:00;2026-07-08 02:06:00;FINISHED_AUCTION;SHORT;FORT;50.0;STOP;-1.000
2026-07-13 23:16:00;2026-07-13 23:18:00;CUM_DELTA_DIV;SHORT;TRESFORT;69.3;TARGET1;9.999
2026-07-17 18:02:00;2026-07-17 18:04:00;CUM_DELTA_DIV;SHORT;FORT;59.3;STOP;-1.000
2026-07-17 18:06:00;2026-07-17 18:08:00;CUM_DELTA_DIV;SHORT;FORT;58.4;STOP;-1.000
2026-07-17 18:08:00;2026-07-17 18:10:00;CUM_DELTA_DIV;SHORT;FORT;54.0;STOP;-1.000
2026-07-17 18:12:00;2026-07-17 18:14:00;CUM_DELTA_DIV;SHORT;FORT;52.1;STOP;-1.000
2026-07-20 02:18:00;2026-07-20 02:20:00;FINISHED_AUCTION;SHORT;FORT;60.0;STOP;-1.000
2026-07-20 08:12:00;2026-07-20 08:14:00;FINISHED_AUCTION;SHORT;FORT;51.9;STOP;-1.000
2026-07-21 14:44:00;2026-07-21 14:46:00;FINISHED_AUCTION;LONG;FORT;60.8;STOP;-1.000
2026-07-21 16:48:00;2026-07-21 16:50:00;CUM_DELTA_DIV;LONG;FORT;54.6;STOP;-1.000
2026-07-22 23:18:00;2026-07-22 23:20:00;FINISHED_AUCTION;LONG;FORT;57.3;STOP;-1.000
2026-07-23 08:40:00;2026-07-23 08:44:00;CUM_DELTA_DIV;LONG;FORT;51.9;STOP;-1.000
