Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2026-06-22 00:00:00-04:00,30557.5,30561.75,30549.0,30556.5,0
2026-06-22 00:05:00-04:00,30579.0,30580.75,30558.0,30558.75,495
2026-06-22 00:10:00-04:00,30560.5,30583.25,30559.75,30578.0,397
2026-06-22 00:15:00-04:00,30561.5,30567.75,30553.75,30560.25,387
2026-06-22 00:20:00-04:00,30562.75,30576.5,30557.75,30561.25,390
2026-06-22 00:25:00-04:00,30547.0,30563.25,30543.0,30563.25,508
2026-06-22 00:30:00-04:00,30561.5,30564.75,30543.0,30546.5,338
2026-06-22 00:35:00-04:00,30547.5,30561.0,30528.25,30561.0,607
2026-06-22 00:40:00-04:00,30532.25,30550.75,30524.0,30547.0,735
2026-06-22 00:45:00-04:00,30572.75,30574.25,30529.5,30533.0,865
2026-06-22 00:50:00-04:00,30571.0,30586.5,30568.5,30572.75,540
2026-06-22 00:55:00-04:00,30582.75,30592.25,30564.25,30570.0,557
2026-06-22 01:00:00-04:00,30583.75,30588.75,30571.25,30582.75,469
2026-06-22 01:05:00-04:00,30637.0,30640.0,30582.75,30584.5,1083
2026-06-22 01:10:00-04:00,30654.25,30663.75,30633.5,30638.0,703
2026-06-22 01:15:00-04:00,30646.5,30665.0,30642.5,30654.75,430
2026-06-22 01:20:00-04:00,30658.5,30660.0,30643.75,30646.75,529
2026-06-22 01:25:00-04:00,30659.25,30661.5,30651.0,30658.25,340
2026-06-22 01:30:00-04:00,30639.0,30661.0,30630.0,30659.0,500
2026-06-22 01:35:00-04:00,30639.5,30656.5,30638.0,30638.0,306
2026-06-22 01:40:00-04:00,30638.25,30648.0,30634.0,30640.0,216
2026-06-22 01:45:00-04:00,30640.75,30645.0,30629.0,30638.75,274
2026-06-22 01:50:00-04:00,30639.75,30651.0,30634.25,30641.0,225
2026-06-22 01:55:00-04:00,30640.25,30652.75,30636.0,30641.0,323
2026-06-22 02:00:00-04:00,30663.25,30666.0,30638.0,30641.5,555
2026-06-22 02:05:00-04:00,30682.75,30684.0,30661.25,30663.25,905
2026-06-22 02:10:00-04:00,30681.0,30684.0,30667.5,30682.5,560
2026-06-22 02:15:00-04:00,30688.0,30694.5,30675.75,30682.25,1279
2026-06-22 02:20:00-04:00,30710.5,30714.5,30682.5,30686.5,697
2026-06-22 02:25:00-04:00,30729.25,30738.5,30707.5,30709.0,823
2026-06-22 02:30:00-04:00,30713.0,30730.0,30704.75,30729.0,1009
2026-06-22 02:35:00-04:00,30721.0,30726.0,30709.5,30712.5,310
2026-06-22 02:40:00-04:00,30724.0,30735.0,30718.0,30720.25,376
2026-06-22 02:45:00-04:00,30722.75,30740.0,30720.5,30724.75,536
2026-06-22 02:50:00-04:00,30735.25,30736.75,30720.75,30724.25,276
2026-06-22 02:55:00-04:00,30736.75,30742.25,30731.75,30734.25,337
2026-06-22 03:00:00-04:00,30771.25,30771.5,30733.5,30737.25,1135
2026-06-22 03:05:00-04:00,30757.0,30775.75,30755.5,30770.5,844
2026-06-22 03:10:00-04:00,30763.25,30765.5,30754.5,30757.5,353
2026-06-22 03:15:00-04:00,30778.25,30780.75,30763.5,30764.5,419
2026-06-22 03:20:00-04:00,30762.25,30781.75,30759.25,30779.0,451
2026-06-22 03:25:00-04:00,30774.25,30774.75,30759.0,30762.25,354
2026-06-22 03:30:00-04:00,30771.0,30776.75,30763.5,30773.75,279
2026-06-22 03:35:00-04:00,30769.25,30779.5,30766.0,30770.75,382
2026-06-22 03:40:00-04:00,30749.5,30769.5,30744.5,30768.75,604
2026-06-22 03:45:00-04:00,30761.5,30767.0,30745.25,30749.25,515
2026-06-22 03:50:00-04:00,30750.5,30766.25,30749.5,30759.5,264
2026-06-22 03:55:00-04:00,30759.0,30760.0,30746.25,30751.0,329
2026-06-22 04:00:00-04:00,30730.25,30765.5,30725.0,30758.0,767
2026-06-22 04:05:00-04:00,30719.25,30732.75,30716.25,30731.0,637
2026-06-22 04:10:00-04:00,30724.75,30735.0,30698.0,30719.0,1115
2026-06-22 04:15:00-04:00,30706.0,30730.0,30701.5,30725.25,649
2026-06-22 04:20:00-04:00,30711.75,30715.0,30687.25,30705.0,656
2026-06-22 04:25:00-04:00,30702.25,30715.0,30697.0,30710.75,411
2026-06-22 04:30:00-04:00,30714.5,30716.5,30692.75,30698.75,504
2026-06-22 04:35:00-04:00,30726.0,30730.0,30713.5,30714.75,721
2026-06-22 04:40:00-04:00,30739.75,30739.75,30718.25,30727.0,518
2026-06-22 04:45:00-04:00,30721.75,30741.75,30712.5,30738.75,448
2026-06-22 04:50:00-04:00,30728.25,30728.25,30714.0,30720.75,423
2026-06-22 04:55:00-04:00,30731.25,30735.5,30721.0,30728.5,415
2026-06-22 05:00:00-04:00,30747.0,30747.75,30710.0,30730.75,606
2026-06-22 05:05:00-04:00,30753.25,30758.0,30739.75,30747.75,884
2026-06-22 05:10:00-04:00,30743.75,30754.5,30730.5,30753.75,456
2026-06-22 05:15:00-04:00,30733.0,30746.0,30728.0,30743.25,440
2026-06-22 05:20:00-04:00,30733.5,30740.0,30726.25,30732.25,313
2026-06-22 05:25:00-04:00,30731.75,30743.5,30724.25,30733.25,377
2026-06-22 05:30:00-04:00,30728.25,30734.5,30713.0,30732.25,689
2026-06-22 05:35:00-04:00,30713.75,30728.75,30713.75,30726.25,240
